SourceZip,SourceZipFilename,EntryPath,ExtractedPath,MatchedText,MatchedTerms,Snippet
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2855.JPG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2855.JPG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2855.JPG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2855.JPG.supplemental-metadata.json { ""title"": ""IMG_2855.JPG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484531"", ""formatted"": ""Sep 4, 2024, 9:15:31 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713896888"", ""formatted"": ""Apr 23, 2024, 6:28:08 PM UTC"" }, ""geoData"": { ""latitude"": 29.0640333, ""longitude"": -81.0252222, ""altitude"": 5.7897605893186, ""latitudeSpan"": 0.0, ""longitudeSpan"":..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_3088.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_3088.PNG.supplemental-metadata.json,"Apr 25, 2024",,"IMG_3088.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_3088.PNG.supplemental-metadata.json { ""title"": ""IMG_3088.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484562"", ""formatted"": ""Sep 4, 2024, 9:16:02 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714065645"", ""formatted"": ""Apr 25, 2024, 5:20:45 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2854.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2854.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2854.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2854.PNG.supplemental-metadata.json { ""title"": ""IMG_2854.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484530"", ""formatted"": ""Sep 4, 2024, 9:15:30 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713886497"", ""formatted"": ""Apr 23, 2024, 3:34:57 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2858.MOV.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2858.MOV.supplemental-metadata.json,"Apr 25, 2024",,"IMG_2858.MOV.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2858.MOV.supplemental-metadata.json { ""title"": ""IMG_2858.MOV"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725619926"", ""formatted"": ""Sep 6, 2024, 10:52:06 AM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1714004071"", ""formatted"": ""Apr 25, 2024, 12:14:31 AM UTC"" }, ""geoData"": { ""latitude"": 29.119400000000002, ""longitude"": -81.0636, ""altitude"": 1.24, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2851.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2851.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2851.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2851.PNG.supplemental-metadata.json { ""title"": ""IMG_2851.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484526"", ""formatted"": ""Sep 4, 2024, 9:15:26 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883883"", ""formatted"": ""Apr 23, 2024, 2:51:23 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2849.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2849.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2849.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2849.PNG.supplemental-metadata.json { ""title"": ""IMG_2849.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484524"", ""formatted"": ""Sep 4, 2024, 9:15:24 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883873"", ""formatted"": ""Apr 23, 2024, 2:51:13 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2848.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2848.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2848.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2848.PNG.supplemental-metadata.json { ""title"": ""IMG_2848.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484522"", ""formatted"": ""Sep 4, 2024, 9:15:22 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883868"", ""formatted"": ""Apr 23, 2024, 2:51:08 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2844.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2844.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2844.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2844.PNG.supplemental-metadata.json { ""title"": ""IMG_2844.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484519"", ""formatted"": ""Sep 4, 2024, 9:15:19 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883853"", ""formatted"": ""Apr 23, 2024, 2:50:53 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2843.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2843.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2843.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2843.PNG.supplemental-metadata.json { ""title"": ""IMG_2843.PNG"", ""description"": """", ""imageViews"": ""3"", ""creationTime"": { ""timestamp"": ""1725484519"", ""formatted"": ""Sep 4, 2024, 9:15:19 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883849"", ""formatted"": ""Apr 23, 2024, 2:50:49 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-7-046.zip,takeout-20260602T071913Z-7-046.zip,Takeout/Google Photos/Photos from 2024/IMG_2842.PNG.supplemental-metadata.json,C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Google Photos\Photos from 2024\IMG_2842.PNG.supplemental-metadata.json,"Apr 23, 2024",,"IMG_2842.PNG.supplemental-metadata.json Takeout/Google Photos/Photos from 2024/IMG_2842.PNG.supplemental-metadata.json { ""title"": ""IMG_2842.PNG"", ""description"": """", ""imageViews"": ""0"", ""creationTime"": { ""timestamp"": ""1725484519"", ""formatted"": ""Sep 4, 2024, 9:15:19 PM UTC"" }, ""photoTakenTime"": { ""timestamp"": ""1713883845"", ""formatted"": ""Apr 23, 2024, 2:50:45 PM UTC"" }, ""geoData"": { ""latitude"": 0.0, ""longitude"": 0.0, ""altitude"": 0.0, ""latitudeSpan"": 0.0, ""longitudeSpan"": 0.0 }, ""url"": ""https://phot..."
