Zip,ZipFilename,Status,ZipSize,UncompressedBytes,FileEntries,ExtractedNewFiles,SkippedExisting,Errors
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-002.zip,takeout-20260602T071913Z-11-002.zip,Processed,4221419097,4262610790,340,340,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-003.zip,takeout-20260602T071913Z-11-003.zip,Processed,4252956736,4252428497,23,23,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-004.zip,takeout-20260602T071913Z-11-004.zip,Processed,4219290194,4372071130,761,761,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-005.zip,takeout-20260602T071913Z-11-005.zip,Processed,4253584137,4260448405,80,80,0,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-006.zip,takeout-20260602T071913Z-11-006.zip,Processed,4251653732,4252375750,76,76,0,0
