Zip,ZipFilename,Status,ZipSize,UncompressedBytes,SelectedBytes,FileEntries,ExtractedNewFiles,SkippedExisting,SkippedByPolicy,Errors
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-002.zip,takeout-20260602T071913Z-9-002.zip,ProcessedSelective,4224931186,4224273009,0,32,0,0,32,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-003.zip,takeout-20260602T071913Z-9-003.zip,ProcessedSelective,4266784995,4266126725,0,18,0,0,18,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-004.zip,takeout-20260602T071913Z-9-004.zip,ProcessedSelective,4232369651,4286915616,59442932,16,1,0,15,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-005.zip,takeout-20260602T071913Z-9-005.zip,ProcessedSelective,4290548259,4289889998,0,9,0,0,9,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-9-006.zip,takeout-20260602T071913Z-9-006.zip,ProcessedSelective,4184143149,4183501805,0,8,0,0,8,0
