"DeletedAt","Name","FullName","Length","LastWriteTime"
"2026-07-06T22:44:41","takeout-20260602T071913Z-11-002.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-002.zip","4221419097","7/6/2026 10:25:52 PM"
"2026-07-06T22:44:41","takeout-20260602T071913Z-11-003.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-003.zip","4252956736","7/6/2026 10:25:56 PM"
"2026-07-06T22:44:41","takeout-20260602T071913Z-11-004.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-004.zip","4219290194","7/6/2026 10:26:18 PM"
"2026-07-06T22:44:41","takeout-20260602T071913Z-11-005.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-005.zip","4253584137","7/6/2026 10:26:04 PM"
"2026-07-06T22:44:41","takeout-20260602T071913Z-11-006.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-006.zip","4251653732","7/6/2026 10:26:10 PM"
