Zip,ZipFilename,Status,ZipSize,UncompressedBytes,SelectedBytes,FileEntries,ExtractedNewFiles,SkippedExisting,SkippedByPolicy,Errors
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-024.zip,takeout-20260602T071913Z-11-024.zip,ProcessedSelective,4252898512,4252156109,820296740,495,465,0,30,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-025.zip,takeout-20260602T071913Z-11-025.zip,ProcessedSelective,4253775012,4253177687,709321221,636,599,0,37,0
C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-026.zip,takeout-20260602T071913Z-11-026.zip,ProcessedSelective,3066426192,3070313132,631733894,506,489,0,17,0
