Pattern,Line,SourceFile
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176784029:Date: Fri, 26 Apr 2024 13:42:05 -0400",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176785068:Date: Fri, 26 Apr 2024 14:56:11 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176790948:Date: Fri, 26 Apr 2024 18:30:16 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176794268:Date: Fri, 26 Apr 2024 10:34:51 -0400",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176794888:Date: Fri, 26 Apr 2024 17:44:49 -0500",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176797850:Date: Fri, 26 Apr 2024 06:39:24 -0700",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176798103:Date: Fri, 26 Apr 2024 19:44:37 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176799728:Date: Fri, 26 Apr 2024 18:28:04 -0400",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176800352:Date: Fri, 26 Apr 2024 15:55:37 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176800645:Date: Fri, 26 Apr 2024 11:28:53 -0400 (EDT)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
