ZipFilename,GroupNumber,ProductOrTopFolder,FileCount,ZipSize,UncompressedBytesInZip
takeout-20260602T071913Z-9-002.zip,9,Takeout/YouTube and YouTube Music/videos,32,4224931186,4224273009
takeout-20260602T071913Z-9-003.zip,9,Takeout/YouTube and YouTube Music/videos,18,4266784995,4266126725
takeout-20260602T071913Z-9-004.zip,9,Takeout/YouTube and YouTube Music/videos,15,4232369651,4286915616
takeout-20260602T071913Z-9-004.zip,9,Takeout/YouTube and YouTube Music/history,1,4232369651,4286915616
takeout-20260602T071913Z-9-005.zip,9,Takeout/YouTube and YouTube Music/videos,9,4290548259,4289889998
takeout-20260602T071913Z-9-006.zip,9,Takeout/YouTube and YouTube Music/videos,8,4184143149,4183501805
