Timestamp,EvidenceType,Service,Action,Description,SourceFile,RelativePath,MatchedTerms,Limitation
2024-04-19 22:26:29,Google Takeout text/metadata,Drive,Keyword/context reference,"font-style: italic; color: green; float: left; font-weight: bold; padding-right: 10px; } Wholesale_Contract_EMD_with_Memorandum_2023.doc - Drive File Comments null Apr 19, 2024, 10:26:2",C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\Drive\GATOR Files Private\Wholesale_Contract_EMD_with_Memorandum.doc-comments.html,Takeout/Drive/GATOR Files Private/Wholesale_Contract_EMD_with_Memorandum.doc-comments.html,Drive,Keyword/timestamp context from Takeout file; may not prove file open/download unless source text explicitly says so.
2024-04-25 11:32:19,Google Takeout text/metadata,Search,Search,"--title"">Search Searched for A Slide Show Full of Creative Finance Email Templates: https://docs.google.com/presentation/d/1GUfmZsoW7Myi_hwtpRdj95WwlJkRjYnTrHJn_hltc9c/edit?usp=sharing Apr 25, 2024, 11:32:19 AM EDT <div class=""content-cell mdl",C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Extracted\Takeout\My Activity\Search\MyActivity.html,Takeout/My Activity/Search/MyActivity.html,docs.google.com,Keyword/timestamp context from Takeout file; may not prove file open/download unless source text explicitly says so.
