Start,End,Duration,Number of events,Services involved
2024-04-24 09:34:22,2024-04-24 09:34:22,0:00:00,4,Maps
2024-04-24 09:34:22,2024-04-24 09:34:22,0:00:00,3,Maps
2024-04-24 10:00:00,2024-04-24 10:01:59,0:01:59,3,Search
2024-04-24 10:40:53,2024-04-24 10:45:50,0:04:57,7,YouTube
2024-04-24 10:41:13,2024-04-24 10:45:50,0:04:37,6,YouTube
2024-04-24 10:42:00,2024-04-24 10:46:29,0:04:29,7,YouTube
2024-04-24 10:42:32,2024-04-24 10:47:19,0:04:47,7,YouTube
2024-04-24 10:43:36,2024-04-24 10:48:11,0:04:35,8,YouTube
2024-04-24 10:44:26,2024-04-24 10:49:24,0:04:58,11,YouTube
2024-04-24 10:45:50,2024-04-24 10:50:29,0:04:39,12,YouTube
2024-04-24 10:46:18,2024-04-24 10:51:12,0:04:54,12,YouTube
2024-04-24 10:46:29,2024-04-24 10:51:26,0:04:57,13,YouTube
2024-04-24 10:47:19,2024-04-24 10:51:26,0:04:07,12,YouTube
2024-04-24 10:47:52,2024-04-24 10:52:33,0:04:41,13,Hotels; YouTube
2024-04-24 10:48:11,2024-04-24 10:52:33,0:04:22,12,Hotels; YouTube
2024-04-24 10:48:46,2024-04-24 10:53:19,0:04:33,15,Hotels; Maps; YouTube
2024-04-24 10:49:08,2024-04-24 10:54:06,0:04:58,15,Hotels; Maps; YouTube
2024-04-24 10:49:10,2024-04-24 10:54:06,0:04:56,14,Hotels; Maps; YouTube
2024-04-24 10:49:24,2024-04-24 10:54:06,0:04:42,13,Hotels; Maps; YouTube
2024-04-24 10:49:27,2024-04-24 10:54:06,0:04:39,12,Hotels; Maps; YouTube
2024-04-24 10:50:29,2024-04-24 10:55:24,0:04:55,28,Hotels; Maps; YouTube
2024-04-24 10:51:12,2024-04-24 10:55:57,0:04:45,28,Hotels; Maps; YouTube
2024-04-24 10:51:23,2024-04-24 10:55:57,0:04:34,27,Hotels; Maps; YouTube
2024-04-24 10:51:26,2024-04-24 10:55:57,0:04:31,26,Hotels; Maps; YouTube
2024-04-24 10:52:21,2024-04-24 10:56:42,0:04:21,26,Hotels; Maps; YouTube
2024-04-24 10:52:33,2024-04-24 10:57:29,0:04:56,26,Hotels; Maps; YouTube
2024-04-24 10:53:19,2024-04-24 10:57:57,0:04:38,27,Maps; YouTube
2024-04-24 10:53:19,2024-04-24 10:57:57,0:04:38,26,Maps; YouTube
2024-04-24 10:53:19,2024-04-24 10:57:57,0:04:38,25,Maps; YouTube
2024-04-24 10:53:19,2024-04-24 10:57:57,0:04:38,24,Maps; YouTube
2024-04-24 10:54:06,2024-04-24 10:58:48,0:04:42,24,Maps; YouTube
2024-04-24 10:54:42,2024-04-24 10:58:48,0:04:06,23,Maps; YouTube
2024-04-24 10:55:09,2024-04-24 10:58:48,0:03:39,22,Maps; YouTube
2024-04-24 10:55:10,2024-04-24 10:58:48,0:03:38,21,Maps; YouTube
2024-04-24 10:55:13,2024-04-24 10:58:48,0:03:35,20,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,19,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,18,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,17,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,16,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,15,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,14,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,13,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,12,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,11,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,10,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,9,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,8,Maps; YouTube
2024-04-24 10:55:24,2024-04-24 10:58:48,0:03:24,7,Maps; YouTube
2024-04-24 10:55:57,2024-04-24 10:58:48,0:02:51,6,YouTube
2024-04-24 10:56:42,2024-04-24 11:01:37,0:04:55,8,YouTube
2024-04-24 10:57:29,2024-04-24 11:01:56,0:04:27,8,YouTube
2024-04-24 10:57:49,2024-04-24 11:01:56,0:04:07,7,YouTube
2024-04-24 10:57:57,2024-04-24 11:02:54,0:04:57,8,YouTube
2024-04-24 10:58:48,2024-04-24 11:02:54,0:04:06,7,YouTube
2024-04-24 11:01:34,2024-04-24 11:06:30,0:04:56,13,YouTube
2024-04-24 11:01:36,2024-04-24 11:06:30,0:04:54,12,YouTube
2024-04-24 11:01:37,2024-04-24 11:06:30,0:04:53,11,YouTube
2024-04-24 11:01:56,2024-04-24 11:06:30,0:04:34,10,YouTube
2024-04-24 11:02:52,2024-04-24 11:07:32,0:04:40,10,YouTube
2024-04-24 11:02:54,2024-04-24 11:07:32,0:04:38,9,YouTube
2024-04-24 11:03:49,2024-04-24 11:08:12,0:04:23,10,YouTube
2024-04-24 11:03:51,2024-04-24 11:08:12,0:04:21,9,YouTube
2024-04-24 11:03:53,2024-04-24 11:08:12,0:04:19,8,YouTube
2024-04-24 11:04:03,2024-04-24 11:08:12,0:04:09,7,YouTube
2024-04-24 11:04:21,2024-04-24 11:09:11,0:04:50,7,YouTube
2024-04-24 11:05:37,2024-04-24 11:10:13,0:04:36,9,YouTube
2024-04-24 11:06:30,2024-04-24 11:11:01,0:04:31,9,YouTube
2024-04-24 11:07:32,2024-04-24 11:12:27,0:04:55,11,YouTube
2024-04-24 11:08:07,2024-04-24 11:12:27,0:04:20,10,YouTube
2024-04-24 11:08:12,2024-04-24 11:12:27,0:04:15,9,YouTube
2024-04-24 11:09:11,2024-04-24 11:14:06,0:04:55,11,YouTube
2024-04-24 11:09:56,2024-04-24 11:14:54,0:04:58,11,YouTube
2024-04-24 11:10:11,2024-04-24 11:14:54,0:04:43,10,YouTube
2024-04-24 11:10:13,2024-04-24 11:14:54,0:04:41,9,YouTube
2024-04-24 11:11:01,2024-04-24 11:15:20,0:04:19,10,YouTube
2024-04-24 11:11:54,2024-04-24 11:16:53,0:04:59,13,YouTube
2024-04-24 11:12:06,2024-04-24 11:17:02,0:04:56,13,YouTube
2024-04-24 11:12:27,2024-04-24 11:17:02,0:04:35,12,YouTube
2024-04-24 11:13:33,2024-04-24 11:18:17,0:04:44,14,YouTube
2024-04-24 11:13:55,2024-04-24 11:18:47,0:04:52,14,YouTube
2024-04-24 11:14:06,2024-04-24 11:19:06,0:05:00,14,YouTube
2024-04-24 11:14:54,2024-04-24 11:19:41,0:04:47,16,YouTube
2024-04-24 11:15:16,2024-04-24 11:19:59,0:04:43,16,YouTube
2024-04-24 11:15:20,2024-04-24 11:20:17,0:04:57,16,YouTube
2024-04-24 11:16:21,2024-04-24 11:21:18,0:04:57,17,YouTube
2024-04-24 11:16:22,2024-04-24 11:21:18,0:04:56,16,YouTube
2024-04-24 11:16:25,2024-04-24 11:21:24,0:04:59,16,YouTube
2024-04-24 11:16:53,2024-04-24 11:21:52,0:04:59,17,YouTube
2024-04-24 11:17:02,2024-04-24 11:21:52,0:04:50,16,YouTube
2024-04-24 11:18:05,2024-04-24 11:22:41,0:04:36,16,YouTube
2024-04-24 11:18:15,2024-04-24 11:22:41,0:04:26,15,YouTube
2024-04-24 11:18:17,2024-04-24 11:22:41,0:04:24,14,YouTube
2024-04-24 11:18:47,2024-04-24 11:23:47,0:05:00,15,YouTube
2024-04-24 11:19:06,2024-04-24 11:24:02,0:04:56,15,YouTube
2024-04-24 11:19:11,2024-04-24 11:24:02,0:04:51,14,YouTube
2024-04-24 11:19:32,2024-04-24 11:24:02,0:04:30,13,YouTube
2024-04-24 11:19:41,2024-04-24 11:24:38,0:04:57,13,YouTube
2024-04-24 11:19:59,2024-04-24 11:24:38,0:04:39,12,YouTube
2024-04-24 11:20:17,2024-04-24 11:25:06,0:04:49,13,YouTube
2024-04-24 11:20:47,2024-04-24 11:25:42,0:04:55,14,YouTube
2024-04-24 11:21:18,2024-04-24 11:26:04,0:04:46,14,YouTube
2024-04-24 11:21:24,2024-04-24 11:26:04,0:04:40,13,YouTube
2024-04-24 11:21:32,2024-04-24 11:26:04,0:04:32,12,YouTube
2024-04-24 11:21:52,2024-04-24 11:26:04,0:04:12,11,YouTube
2024-04-24 11:22:41,2024-04-24 11:27:32,0:04:51,12,YouTube
2024-04-24 11:23:46,2024-04-24 11:28:29,0:04:43,13,YouTube
2024-04-24 11:23:47,2024-04-24 11:28:29,0:04:42,12,YouTube
2024-04-24 11:24:02,2024-04-24 11:28:56,0:04:54,13,YouTube
2024-04-24 11:24:38,2024-04-24 11:29:17,0:04:39,14,YouTube
2024-04-24 11:25:04,2024-04-24 11:30:00,0:04:56,14,YouTube
2024-04-24 11:25:06,2024-04-24 11:30:00,0:04:54,13,YouTube
2024-04-24 11:25:21,2024-04-24 11:30:19,0:04:58,13,YouTube
2024-04-24 11:25:42,2024-04-24 11:30:19,0:04:37,12,YouTube
2024-04-24 11:26:04,2024-04-24 11:30:59,0:04:55,12,YouTube
2024-04-24 11:27:06,2024-04-24 11:32:05,0:04:59,12,YouTube
2024-04-24 11:27:32,2024-04-24 11:32:32,0:05:00,12,YouTube
2024-04-24 11:28:19,2024-04-24 11:32:34,0:04:15,12,YouTube
2024-04-24 11:28:29,2024-04-24 11:33:22,0:04:53,12,YouTube
2024-04-24 11:28:54,2024-04-24 11:33:22,0:04:28,11,YouTube
2024-04-24 11:28:56,2024-04-24 11:33:22,0:04:26,10,YouTube
2024-04-24 11:29:07,2024-04-24 11:34:02,0:04:55,10,YouTube
2024-04-24 11:29:17,2024-04-24 11:34:02,0:04:45,9,YouTube
2024-04-24 11:30:00,2024-04-24 11:34:36,0:04:36,10,YouTube
2024-04-24 11:30:19,2024-04-24 11:35:19,0:05:00,10,YouTube
2024-04-24 11:30:59,2024-04-24 11:35:37,0:04:38,10,YouTube
2024-04-24 11:32:05,2024-04-24 11:36:30,0:04:25,11,YouTube
2024-04-24 11:32:32,2024-04-24 11:37:15,0:04:43,12,YouTube
2024-04-24 11:32:34,2024-04-24 11:37:15,0:04:41,11,YouTube
2024-04-24 11:33:22,2024-04-24 11:38:03,0:04:41,12,YouTube
2024-04-24 11:34:02,2024-04-24 11:38:42,0:04:40,12,YouTube
2024-04-24 11:34:33,2024-04-24 11:38:42,0:04:09,11,YouTube
2024-04-24 11:34:36,2024-04-24 11:38:42,0:04:06,10,YouTube
2024-04-24 11:35:19,2024-04-24 11:40:17,0:04:58,10,YouTube
2024-04-24 11:35:37,2024-04-24 11:40:17,0:04:40,9,YouTube
2024-04-24 11:36:22,2024-04-24 11:40:17,0:03:55,8,YouTube
2024-04-24 11:36:30,2024-04-24 11:40:17,0:03:47,7,YouTube
2024-04-24 11:37:08,2024-04-24 11:42:04,0:04:56,7,YouTube
2024-04-24 11:37:15,2024-04-24 11:42:04,0:04:49,6,YouTube
2024-04-24 11:38:02,2024-04-24 11:42:27,0:04:25,6,YouTube
2024-04-24 11:38:03,2024-04-24 11:42:27,0:04:24,5,YouTube
2024-04-24 11:38:42,2024-04-24 11:43:04,0:04:22,5,YouTube
2024-04-24 11:40:17,2024-04-24 11:44:21,0:04:04,7,YouTube
2024-04-24 11:42:04,2024-04-24 11:46:42,0:04:38,8,YouTube
2024-04-24 11:42:27,2024-04-24 11:47:20,0:04:53,9,YouTube
2024-04-24 11:43:04,2024-04-24 11:47:36,0:04:32,10,YouTube
2024-04-24 11:43:51,2024-04-24 11:48:14,0:04:23,12,YouTube
2024-04-24 11:44:18,2024-04-24 11:49:15,0:04:57,12,YouTube
2024-04-24 11:44:21,2024-04-24 11:49:15,0:04:54,11,YouTube
2024-04-24 11:45:45,2024-04-24 11:50:10,0:04:25,13,YouTube
2024-04-24 11:46:42,2024-04-24 11:51:03,0:04:21,13,YouTube
2024-04-24 11:47:18,2024-04-24 11:52:07,0:04:49,14,YouTube
2024-04-24 11:47:20,2024-04-24 11:52:07,0:04:47,13,YouTube
2024-04-24 11:47:33,2024-04-24 11:52:33,0:05:00,16,YouTube
2024-04-24 11:47:36,2024-04-24 11:52:33,0:04:57,15,YouTube
2024-04-24 11:48:06,2024-04-24 11:52:58,0:04:52,18,YouTube
2024-04-24 11:48:12,2024-04-24 11:52:58,0:04:46,17,YouTube
2024-04-24 11:48:14,2024-04-24 11:52:58,0:04:44,16,YouTube
2024-04-24 11:49:15,2024-04-24 11:53:59,0:04:44,17,YouTube
2024-04-24 11:49:22,2024-04-24 11:53:59,0:04:37,16,YouTube
2024-04-24 11:50:07,2024-04-24 11:54:57,0:04:50,18,YouTube
2024-04-24 11:50:10,2024-04-24 11:54:57,0:04:47,17,YouTube
2024-04-24 11:51:03,2024-04-24 11:55:48,0:04:45,17,YouTube
2024-04-24 11:52:03,2024-04-24 11:57:02,0:04:59,20,YouTube
2024-04-24 11:52:07,2024-04-24 11:57:06,0:04:59,20,YouTube
2024-04-24 11:52:25,2024-04-24 11:57:22,0:04:57,22,YouTube
2024-04-24 11:52:28,2024-04-24 11:57:28,0:05:00,22,YouTube
2024-04-24 11:52:30,2024-04-24 11:57:30,0:05:00,22,YouTube
2024-04-24 11:52:33,2024-04-24 11:57:30,0:04:57,21,YouTube
2024-04-24 11:52:43,2024-04-24 11:57:30,0:04:47,20,YouTube
2024-04-24 11:52:53,2024-04-24 11:57:30,0:04:37,19,YouTube
2024-04-24 11:52:56,2024-04-24 11:57:30,0:04:34,18,YouTube
2024-04-24 11:52:58,2024-04-24 11:57:30,0:04:32,17,YouTube
2024-04-24 11:53:30,2024-04-24 11:57:30,0:04:00,16,YouTube
2024-04-24 11:53:59,2024-04-24 11:58:32,0:04:33,16,YouTube
2024-04-24 11:54:40,2024-04-24 11:59:25,0:04:45,16,YouTube
2024-04-24 11:54:42,2024-04-24 11:59:25,0:04:43,15,YouTube
2024-04-24 11:54:57,2024-04-24 11:59:25,0:04:28,14,YouTube
2024-04-24 11:55:48,2024-04-24 12:00:18,0:04:30,19,Maps; YouTube
2024-04-24 11:56:04,2024-04-24 12:00:18,0:04:14,18,Maps; YouTube
2024-04-24 11:56:07,2024-04-24 12:00:18,0:04:11,17,Maps; YouTube
2024-04-24 11:56:12,2024-04-24 12:00:18,0:04:06,16,Maps; YouTube
2024-04-24 11:57:02,2024-04-24 12:01:43,0:04:41,16,Maps; YouTube
2024-04-24 11:57:06,2024-04-24 12:01:43,0:04:37,15,Maps; YouTube
2024-04-24 11:57:10,2024-04-24 12:01:43,0:04:33,14,Maps; YouTube
2024-04-24 11:57:13,2024-04-24 12:01:43,0:04:30,13,Maps; YouTube
2024-04-24 11:57:22,2024-04-24 12:01:43,0:04:21,12,Maps; YouTube
2024-04-24 11:57:28,2024-04-24 12:01:43,0:04:15,11,Maps; YouTube
2024-04-24 11:57:30,2024-04-24 12:01:43,0:04:13,10,Maps; YouTube
2024-04-24 11:58:32,2024-04-24 12:03:31,0:04:59,13,Maps; YouTube
2024-04-24 11:59:25,2024-04-24 12:04:19,0:04:54,15,Maps; YouTube
2024-04-24 11:59:59,2024-04-24 12:04:19,0:04:20,14,Maps; YouTube
2024-04-24 12:00:07,2024-04-24 12:04:19,0:04:12,13,Maps; YouTube
2024-04-24 12:00:07,2024-04-24 12:04:19,0:04:12,12,Maps; YouTube
2024-04-24 12:00:07,2024-04-24 12:04:19,0:04:12,11,Maps; YouTube
2024-04-24 12:00:10,2024-04-24 12:04:19,0:04:09,10,YouTube
2024-04-24 12:00:18,2024-04-24 12:04:19,0:04:01,9,YouTube
2024-04-24 12:01:43,2024-04-24 12:06:00,0:04:17,11,YouTube
2024-04-24 12:02:31,2024-04-24 12:07:23,0:04:52,11,YouTube
2024-04-24 12:02:35,2024-04-24 12:07:23,0:04:48,10,YouTube
2024-04-24 12:02:43,2024-04-24 12:07:23,0:04:40,9,YouTube
2024-04-24 12:03:31,2024-04-24 12:08:24,0:04:53,9,YouTube
2024-04-24 12:03:50,2024-04-24 12:08:40,0:04:50,9,YouTube
2024-04-24 12:03:53,2024-04-24 12:08:40,0:04:47,8,YouTube
2024-04-24 12:04:19,2024-04-24 12:08:40,0:04:21,7,YouTube
2024-04-24 12:05:20,2024-04-24 12:08:40,0:03:20,6,YouTube
2024-04-24 12:05:22,2024-04-24 12:08:40,0:03:18,5,YouTube
2024-04-24 12:06:00,2024-04-24 12:08:40,0:02:40,4,YouTube
2024-04-24 12:07:23,2024-04-24 12:08:40,0:01:17,3,YouTube
2024-04-24 12:08:24,2024-04-24 12:12:54,0:04:30,3,YouTube
2024-04-24 12:31:05,2024-04-24 12:36:03,0:04:58,3,Maps; Search
2024-04-24 13:32:24,2024-04-24 13:33:03,0:00:39,5,Search
2024-04-24 13:32:33,2024-04-24 13:33:03,0:00:30,4,Search
2024-04-24 13:32:41,2024-04-24 13:33:03,0:00:22,3,Search
2024-04-24 14:56:44,2024-04-24 14:56:44,0:00:00,8,Maps
2024-04-24 14:56:44,2024-04-24 14:56:44,0:00:00,7,Maps
2024-04-24 14:56:44,2024-04-24 14:56:44,0:00:00,6,Maps
2024-04-24 14:56:44,2024-04-24 14:56:44,0:00:00,5,Maps
2024-04-24 14:56:44,2024-04-24 14:56:44,0:00:00,4,Maps
2024-04-24 14:56:44,2024-04-24 14:56:44,0:00:00,3,Maps
2024-04-24 16:05:18,2024-04-24 16:08:05,0:02:47,3,Google Business Profile; Search
2024-04-24 16:42:00,2024-04-24 16:42:16,0:00:16,3,Search
2024-04-24 17:33:33,2024-04-24 17:34:09,0:00:36,3,Search
2024-04-24 22:50:41,2024-04-24 22:51:47,0:01:06,5,Hotels; Maps
2024-04-24 22:50:46,2024-04-24 22:51:47,0:01:01,4,Hotels; Maps
2024-04-24 22:50:48,2024-04-24 22:51:47,0:00:59,3,Maps
2024-04-25 12:39:03,2024-04-25 12:42:26,0:03:23,4,Hotels; Maps
2024-04-25 12:42:26,2024-04-25 12:42:26,0:00:00,3,Maps
2024-04-25 13:56:18,2024-04-25 13:57:07,0:00:49,7,Hotels; Maps
2024-04-25 13:56:36,2024-04-25 13:57:07,0:00:31,6,Maps
2024-04-25 13:56:36,2024-04-25 13:57:07,0:00:31,5,Maps
2024-04-25 13:57:07,2024-04-25 13:57:07,0:00:00,4,Maps
2024-04-25 13:57:07,2024-04-25 13:57:07,0:00:00,3,Maps
2024-04-25 14:31:49,2024-04-25 14:35:09,0:03:20,5,Gmail; Search
2024-04-25 14:34:05,2024-04-25 14:35:09,0:01:04,4,Gmail
2024-04-25 14:34:21,2024-04-25 14:35:09,0:00:48,3,Gmail
2024-04-25 15:13:10,2024-04-25 15:15:57,0:02:47,3,Google Business Profile; Maps
2024-04-25 15:22:36,2024-04-25 15:25:05,0:02:29,3,Maps
2024-04-25 15:25:05,2024-04-25 15:29:09,0:04:04,3,Maps
2024-04-25 15:29:09,2024-04-25 15:32:10,0:03:01,4,Hotels; Maps
2024-04-25 15:31:56,2024-04-25 15:32:10,0:00:14,3,Hotels; Maps
2024-04-25 17:45:14,2024-04-25 17:48:10,0:02:56,5,Hotels; Maps
2024-04-25 17:45:15,2024-04-25 17:48:10,0:02:55,4,Maps
2024-04-25 17:46:01,2024-04-25 17:48:10,0:02:09,3,Maps
2024-04-25 22:40:09,2024-04-25 22:40:40,0:00:31,3,Discover; Search
2024-04-26 10:50:24,2024-04-26 10:53:11,0:02:47,6,Maps
2024-04-26 10:51:09,2024-04-26 10:55:39,0:04:30,7,Maps
2024-04-26 10:51:09,2024-04-26 10:55:39,0:04:30,6,Maps
2024-04-26 10:51:24,2024-04-26 10:55:39,0:04:15,5,Maps
2024-04-26 10:53:11,2024-04-26 10:55:39,0:02:28,4,Maps
2024-04-26 10:53:11,2024-04-26 10:55:39,0:02:28,3,Maps
2024-04-26 11:15:24,2024-04-26 11:20:04,0:04:40,3,Maps; Search
2024-04-26 11:20:04,2024-04-26 11:22:07,0:02:03,4,Maps; Search
2024-04-26 11:20:04,2024-04-26 11:22:07,0:02:03,3,Maps; Search
2024-04-26 13:30:32,2024-04-26 13:30:33,0:00:01,6,Maps
2024-04-26 13:30:32,2024-04-26 13:30:33,0:00:01,5,Maps
2024-04-26 13:30:32,2024-04-26 13:30:33,0:00:01,4,Maps
2024-04-26 13:30:33,2024-04-26 13:30:33,0:00:00,3,Maps
2024-04-26 15:05:36,2024-04-26 15:09:52,0:04:16,7,Gmail; Google Business Profile; Search
2024-04-26 15:06:58,2024-04-26 15:09:52,0:02:54,6,Google Business Profile; Search
2024-04-26 15:08:04,2024-04-26 15:09:52,0:01:48,5,Google Business Profile; Search
2024-04-26 15:08:04,2024-04-26 15:09:52,0:01:48,4,Google Business Profile; Search
2024-04-26 15:09:36,2024-04-26 15:09:52,0:00:16,3,Google Business Profile; Search
2024-04-26 15:17:01,2024-04-26 15:20:35,0:03:34,9,Maps; Search
2024-04-26 15:17:08,2024-04-26 15:20:35,0:03:27,8,Maps; Search
2024-04-26 15:17:15,2024-04-26 15:20:35,0:03:20,7,Maps; Search
2024-04-26 15:17:40,2024-04-26 15:20:35,0:02:55,6,Search
2024-04-26 15:17:50,2024-04-26 15:20:35,0:02:45,5,Search
2024-04-26 15:17:59,2024-04-26 15:20:35,0:02:36,4,Search
2024-04-26 15:18:50,2024-04-26 15:20:35,0:01:45,3,Search
2024-04-26 17:24:37,2024-04-26 17:24:43,0:00:06,5,Maps; YouTube
2024-04-26 17:24:43,2024-04-26 17:24:43,0:00:00,4,Maps
2024-04-26 17:24:43,2024-04-26 17:24:43,0:00:00,3,Maps
2024-04-26 18:32:37,2024-04-26 18:37:33,0:04:56,3,YouTube
2024-04-26 18:37:20,2024-04-26 18:40:41,0:03:21,3,YouTube
2024-04-26 20:19:09,2024-04-26 20:23:22,0:04:13,3,Search
2024-04-26 20:42:30,2024-04-26 20:46:57,0:04:27,6,Image Search; Search
2024-04-26 20:42:34,2024-04-26 20:46:57,0:04:23,5,Image Search
2024-04-26 20:43:11,2024-04-26 20:46:57,0:03:46,4,Image Search
2024-04-26 20:43:19,2024-04-26 20:46:57,0:03:38,3,Image Search
2024-04-26 22:36:04,2024-04-26 22:37:33,0:01:29,3,Search
