"Action","Path","Name","GB","Bytes","LastWriteTime","DeletedAt","SourceMap"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-024.zip","takeout-20260602T071913Z-11-024.zip","3.961","4252898512","7/7/2026 10:12:45 PM","2026-07-07T23:03:04","current_takeout_zips_source_map.csv / selective_source_map_20260707_225351.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-025.zip","takeout-20260602T071913Z-11-025.zip","3.962","4253775012","7/7/2026 10:12:49 PM","2026-07-07T23:03:04","current_takeout_zips_source_map.csv / selective_source_map_20260707_225351.csv"
"DeletedAfterSelectiveExtractionAndAnalysis","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-026.zip","takeout-20260602T071913Z-11-026.zip","2.856","3066426192","7/7/2026 10:11:36 PM","2026-07-07T23:03:04","current_takeout_zips_source_map.csv / selective_source_map_20260707_225351.csv"
