"DeletedAt","Name","FullName","Length","LastWriteTime","Reason"
"2026-07-06T23:18:53","takeout-20260602T071913Z-11-007.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-007.zip","4247342866","7/6/2026 10:58:43 PM","Clean extraction; zero errors"
"2026-07-06T23:18:53","takeout-20260602T071913Z-11-008.zip","C:\Users\thoma\Documents\Cyber Crimes Tools\Takeout Zips\takeout-20260602T071913Z-11-008.zip","4271682615","7/6/2026 10:58:46 PM","Clean extraction; zero errors"
